apt_group,time_averaged_real_power_sigma,time_averaged_real_power_W,number_of_bedrooms,number_of_bedrooms_sigma,number_of_all_rooms,number_of_all_rooms_sigma,apt_area__meter_sq,apt_area__meter_sq_sigma
AG01,42,19,1.2,0.7,3.2,1.3,62,28
AG02,81,7,1.3,0.5,3.9,1.8,77,36
AG03,105,5,1.3,0.6,3.3,1.3,65,29
AG04,119,4,1.1,0.3,3.1,1.0,58,18
AG05,141,6,1.5,0.6,4.2,1.5,91,41
AG06,156,4,1.3,0.5,3.8,1.4,77,33
AG07,166,4,1.4,0.6,4.2,1.5,85,42
AG08,179,4,1.3,0.6,3.8,1.5,77,38
AG09,189,3,1.4,0.6,3.7,1.7,86,43
AG10,203,4,1.3,0.6,3.7,1.4,81,29
AG11,216,4,1.9,0.8,4.9,1.8,102,43
AG12,228,5,1.4,0.5,4.0,1.3,81,27
AG13,245,5,1.7,0.7,4.2,1.4,83,35
AG14,267,7,1.6,0.6,4.1,1.5,73,30
AG15,289,8,1.9,0.6,5.1,1.4,111,29
AG16,317,9,2.1,0.7,5.8,1.1,119,36
AG17,340,7,2.0,0.8,5.7,1.4,115,36
AG18,366,8,1.9,0.6,5.1,1.4,114,43
AG19,393,8,2.1,0.5,5.3,1.4,118,46
AG20,434,12,2.3,0.6,5.9,1.1,137,32
AG21,470,17,2.8,0.6,6.4,1.2,159,39
AG22,528,20,2.5,0.8,6.0,1.1,144,42
AG23,589,29,2.0,0.7,5.4,0.9,116,30
AG24,714,36,2.9,0.7,5.8,1.1,160,45
AG25,874,42,2.6,0.8,6.5,1.0,165,27
AG26,1255,425,2.7,0.7,6.5,0.9,164,41